Month,Python: (Worldwide),R: (Worldwide),Julia: (Worldwide)
2010-01,24,13,1
2010-02,26,13,1
2010-03,27,14,1
2010-04,26,14,1
2010-05,26,14,1
2010-06,26,13,1
2010-07,24,14,1
2010-08,24,14,1
2010-09,25,15,1
2010-10,26,16,1
2010-11,27,16,1
2010-12,25,16,1
2011-01,25,16,1
2011-02,27,17,1
2011-03,27,17,1
2011-04,26,18,1
2011-05,27,17,1
2011-06,26,18,1
2011-07,26,17,1
2011-08,26,18,1
2011-09,26,19,1
2011-10,26,20,1
2011-11,27,20,1
2011-12,25,19,1
2012-01,25,20,3
2012-02,26,21,5
2012-03,28,21,5
2012-04,27,22,5
2012-05,27,21,6
2012-06,26,22,2
2012-07,26,20,1
2012-08,26,20,1
2012-09,28,21,4
2012-10,29,23,6
2012-11,29,20,6
2012-12,26,20,4
2013-01,29,21,1
2013-02,30,22,1
2013-03,30,21,1
2013-04,31,22,1
2013-05,30,21,1
2013-06,30,20,1
2013-07,30,21,1
2013-08,30,20,1
2013-09,31,21,1
2013-10,33,22,1
2013-11,34,21,1
2013-12,31,21,1
2014-01,31,22,1
2014-02,34,21,1
2014-03,34,22,1
2014-04,34,22,1
2014-05,33,22,1
2014-06,32,22,1
2014-07,32,21,1
2014-08,30,21,1
2014-09,35,21,1
2014-10,37,22,1
2014-11,36,22,1
2014-12,32,21,1
2015-01,33,21,1
2015-02,38,23,1
2015-03,38,23,1
2015-04,39,23,1
2015-05,37,21,1
2015-06,38,21,1
2015-07,38,21,1
2015-08,36,20,1
2015-09,41,22,1
2015-10,42,22,1
2015-11,41,21,1
2015-12,38,20,1
2016-01,43,20,1
2016-02,49,23,1
2016-03,49,22,1
2016-04,48,22,1
2016-05,47,22,1
2016-06,49,21,1
2016-07,45,20,1
2016-08,45,20,1
2016-09,51,21,1
2016-10,55,22,1
2016-11,58,23,1
2016-12,51,20,1
2017-01,55,20,1
2017-02,62,23,1
2017-03,68,24,1
2017-04,63,23,1
2017-05,62,23,1
2017-06,62,21,1
2017-07,59,19,1
2017-08,63,19,1
2017-09,68,21,1
2017-10,72,23,1
2017-11,73,23,1
2017-12,64,21,1
2018-01,66,21,<1
2018-02,75,23,1
2018-03,76,23,1
2018-04,73,24,<1
2018-05,74,24,1
2018-06,74,22,1
2018-07,73,21,<1
2018-08,73,21,1
2018-09,76,22,1
2018-10,83,23,1
2018-11,83,22,1
2018-12,69,19,1
2019-01,76,20,1
2019-02,84,23,1
2019-03,85,22,1
2019-04,84,22,1
2019-05,82,21,1
2019-06,84,20,1
2019-07,88,20,1
2019-08,83,18,1
2019-09,95,21,1
2019-10,97,21,1
2019-11,97,20,1
2019-12,82,17,<1
2020-01,87,18,1
2020-02,97,20,<1
2020-03,92,19,<1
2020-04,100,20,1
2020-05,94,19,1
2020-06,96,19,1
2020-07,93,18,1
2020-08,91,17,<1
2020-09,93,19,<1
2020-10,78,18,<1
2020-11,73,17,<1
2020-12,72,15,<1
2021-01,71,15,<1
2021-02,76,16,<1
2021-03,84,17,<1
2021-04,82,17,<1
2021-05,77,16,<1
2021-06,79,16,<1
2021-07,77,14,<1
2021-08,72,14,<1
2021-09,85,18,<1
2021-10,88,19,1
2021-11,95,19,1
2021-12,88,18,<1
